Mode,Matrix,Threads,Schedule,ChunkSize,L1_MissRate,LLC_MissRate
sequential,atmosmodd.mtx,1,none,0,0.6973834899685587,74.48278845114751
sequential,circuit5M.mtx,1,none,0,0.8451137561616408,83.17865939945422
sequential,memchip.mtx,1,none,0,0.7338466326757369,74.26847852592363
sequential,poisson3Db.mtx,1,none,0,0.6914718295579719,52.007908869928656
sequential,rajat29.mtx,1,none,0,0.7529433269158817,81.23672099879114
sequential,torso1.mtx,1,none,0,0.7429163169173763,84.99635445003652
parallel,atmosmodd.mtx,2,static,256,0.7056716530278809,74.67304679992837
parallel,atmosmodd.mtx,2,dynamic,1024,0.6964591248729242,73.90841529583173
parallel,atmosmodd.mtx,2,guided,16,0.698126095703358,75.26476879728055
parallel,atmosmodd.mtx,4,static,256,0.6991465319765496,74.9131069247763
parallel,atmosmodd.mtx,4,dynamic,1024,0.7021062345795124,75.42080603554592
parallel,atmosmodd.mtx,4,guided,16,0.6973742204863844,74.1030300072935
parallel,atmosmodd.mtx,8,static,256,0.7033241444235558,74.71586185878182
parallel,atmosmodd.mtx,8,dynamic,1024,0.6971566345743024,74.38424341353645
parallel,atmosmodd.mtx,8,guided,16,0.6995302595320498,74.62433147586952
parallel,atmosmodd.mtx,16,static,256,0.7077886816252215,74.57731254956757
parallel,atmosmodd.mtx,16,dynamic,1024,0.7034618849005212,73.95933152237559
parallel,atmosmodd.mtx,16,guided,16,0.7057765914155073,73.89900236824097
parallel,atmosmodd.mtx,32,static,256,0.7030415153922558,74.28708718364919
parallel,atmosmodd.mtx,32,dynamic,1024,0.6983172754311345,75.64167485729844
parallel,atmosmodd.mtx,32,guided,16,0.6984354831916937,74.7879064907656
parallel,atmosmodd.mtx,64,static,256,0.6964145235767258,73.33210007294235
parallel,atmosmodd.mtx,64,dynamic,1024,0.6983377980109686,74.27905401441312
parallel,atmosmodd.mtx,64,guided,16,0.7006621736260923,73.99510002811121
parallel,circuit5M.mtx,2,static,1024,0.844262597112304,83.21803921057912
parallel,circuit5M.mtx,2,dynamic,1024,0.8420050906304374,82.97718322809281
parallel,circuit5M.mtx,2,guided,4,0.8440796358394681,83.06760107989646
parallel,circuit5M.mtx,4,static,1024,0.8448991051912521,83.59965514175389
parallel,circuit5M.mtx,4,dynamic,1024,0.8420387019627806,83.35313966201693
parallel,circuit5M.mtx,4,guided,4,0.8411404869039127,82.94113256938351
parallel,circuit5M.mtx,8,static,1024,0.8423564177561453,83.06309293909464
parallel,circuit5M.mtx,8,dynamic,1024,0.8418882911909931,82.99723771770805
parallel,circuit5M.mtx,8,guided,4,0.8416882333129884,82.90428531353112
