Matrix,Schedule,Threads,ChunkSize,p90_Time_ms,p90_GFLOPs,Speedup,Efficiency
circuit5M.mtx,guided,16,64,91.01027,1.811302,1.0942558460709981,6.839099037943738
circuit5M.mtx,guided,16,256,88.65973,1.9163729999999999,1.1232666736070591,7.0204167100441195
circuit5M.mtx,guided,16,1024,82.89393999999999,1.906906,1.2013968693006993,7.5087304331293705
circuit5M.mtx,static,32,1,163.9051,0.7871562,0.60759866532524,1.898745829141375
circuit5M.mtx,static,32,4,121.1677,1.023733,0.8219064981839219,2.568457806824756
circuit5M.mtx,static,32,16,139.1068,1.0719329999999998,0.7159141034083164,2.237231573150989
circuit5M.mtx,static,32,64,295.2234,1.210376,0.3373327453040646,1.054164829075202
circuit5M.mtx,static,32,256,367.81300000000005,1.146955,0.2707585648141854,0.8461205150443294
circuit5M.mtx,static,32,1024,321.7186,0.8429033,0.3095516392275734,0.9673488725861669
circuit5M.mtx,dynamic,32,1,440.8468,0.27988969999999996,0.2259027852759734,0.7059462039874169
circuit5M.mtx,dynamic,32,4,172.3691,0.7415265,0.5777631837724975,1.8055099492890545
circuit5M.mtx,dynamic,32,16,108.98610000000001,1.1928830000000001,0.9137726737629843,2.855539605509326
circuit5M.mtx,dynamic,32,64,174.327,1.0709009999999999,0.5712742145508154,1.785231920471298
circuit5M.mtx,dynamic,32,256,243.0852,0.8251365999999999,0.40968565753900277,1.2802676798093837
circuit5M.mtx,dynamic,32,1024,308.12789999999995,0.682757,0.3232051365682887,1.0100160517759023
circuit5M.mtx,guided,32,1,187.2364,1.714412,0.5318865348831744,1.66214542150992
circuit5M.mtx,guided,32,4,208.88129999999998,1.0423730999999998,0.4767708741759075,1.489908981799711
circuit5M.mtx,guided,32,16,213.6096,1.2295389999999997,0.4662174359204829,1.456929487251509
